EstacaoCodigo;NivelConsistencia;Data;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60855000;1;01/11/2019;1;1;"70,284";"16,854";"26,681";30;21;1;1;1;;0;"59,227";"42,382";"25,099";"24,376";"21,922";"20,328";"19,124";"19,42";"19,72";"19,124";"18,251";"17,684";"17,966";"25,099";"35,753";"25,463";"22,266";"19,42";"18,83";"17,128";"16,854";"16,854";"18,251";"19,72";"25,83";"24,376";"24,376";"32,831";"62,456";"70,284";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/10/2019;1;1;;;;;;0;0;0;;0;"11,959";"11,959";"11,316";"11,107";"11,742";"11,959";"12,625";"12,853";"13,788";"13,788";"12,853";"12,179";"11,959";"11,742";"11,107";"11,107";"11,742";"12,853";"14,518";"13,315";"12,853";"12,625";"11,959";"11,959";"11,959";"11,742";"11,316";"11,107";"10,9";"10,494";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/09/2019;1;1;"15,529";"11,742";"13,294";1;17;1;1;1;;0;"15,529";"15,272";"15,272";"15,018";"14,766";"14,518";"14,272";"13,788";"12,853";"12,853";"12,853";"12,853";"12,853";"12,401";"13,083";"12,853";"11,742";"11,959";"11,959";"11,959";"12,625";"12,853";"13,55";"13,55";"13,315";"12,853";"12,853";"12,853";"12,853";"12,853";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/08/2019;1;1;"21,263";"16,854";"18,454";3;22;1;1;1;;0;"20,328";"20,949";"21,263";"20,637";"20,328";"20,328";"20,023";"19,72";"19,42";"19,124";"19,124";"19,124";"18,83";"18,83";"18,539";"18,539";"18,251";"17,966";"17,404";"17,404";"17,404";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";"16,854";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/07/2019;1;1;"26,572";"22,266";"24,572";1;26;1;1;1;;0;"26,572";"26,2";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,83";"25,463";"25,099";"24,736";"24,736";"24,019";"23,663";"23,663";"22,96";"22,611";"22,611";"22,266";"22,266";"22,266";"22,266";"22,266";"22,266";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/06/2019;1;1;"39,67";"27,322";"32,683";1;27;1;1;1;;0;"39,67";"39,226";"38,345";"37,039";"37,039";"36,179";"36,179";"36,179";"36,179";"35,329";"34,487";"33,655";"33,655";"33,655";"33,242";"32,423";"32,017";"31,211";"30,415";"30,415";"30,415";"29,628";"29,238";"28,85";"28,465";"28,081";"27,322";"27,322";"27,322";"27,322";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/05/2019;1;1;"52,997";"40,565";"45,592";1;27;1;1;1;;0;"52,997";"49,998";"49,506";"48,042";"49,998";"49,998";"48,528";"45,173";"45,173";"44,234";"46,598";"46,12";"45,173";"44,234";"44,234";"44,234";"46,12";"49,506";"49,506";"48,042";"46,12";"44,234";"44,234";"43,768";"42,842";"41,924";"40,565";"40,565";"40,565";"40,565";"40,565";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60855000;1;01/04/2019;1;1;"119,759";"45,173";"66,786";19;3;1;1;1;;0;"50,989";"53,505";"45,173";"46,12";"48,042";"45,646";"48,042";"66,879";"64,099";"67,441";"78,52";"79,729";"73,764";"74,941";"111,18";"83,406";"51,989";"48,528";"119,759";"89,698";"80,947";"74,351";"63,001";"59,227";"58,696";"70,284";"68,006";"65,205";"61,371";"55,04";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60855000;1;01/03/2019;1;1;"193,909";"59,227";"95,099";11;31;1;1;1;;0;"156,865";"144,005";"127,123";"106,997";"104,248";"89,698";"94,877";"96,191";"87,157";"107,689";"193,909";"162,644";"86,527";"79,729";"78,52";"85,899";"84,648";"81,559";"85,899";"87,789";"85,899";"87,157";"90,338";"94,222";"78,52";"62,456";"60,294";"60,294";"61,371";"66,319";"59,227";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
60855000;1;01/02/2019;1;1;"198,178";"30,415";"80,256";17;5;1;1;1;;0;"33,655";"32,017";"32,017";"33,655";"30,415";"50,989";"97,514";"73,764";"59,227";"63,549";"60,294";"39,67";"57,116";"55,04";"57,116";"185,798";"198,178";"108,383";"83,406";"112,59";"128,619";"98,845";"79,729";"69,141";"68,006";"87,157";"127,123";"124,154";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
